"","Hummingbird","Low","m","High","Index"
"1","Green-crowned Woodnymph",1359,1376.64516129032,1390,1
"2","Rufous-tailed Hummingbird",1368,1476.33333333333,1380,1
"3","Andean Emerald",1378,1386.26086956522,1380,1
"4","White-necked Jacobin",1368,1397.5,1422,1
"5","Stripe-throated Hermit",1368,1440.88741721854,1450,1
"6","White-whiskered Hermit",1340,1412.39097744361,1450,1
"7","Crowned Woodnymph",1370,1583.47826086957,1820,3
"8","Booted Racket-tail",1390,1708.31395348837,1950,3
"9","Purple-bibbed Whitetip",1400,1693.46153846154,1940,3
"10","Wedge-billed Hummingbird",1331,1674.1,1950,3
"11","Green-crowned Brilliant",1374.8,1805.28571428571,2110,3
"12","Booted Racketail",1572,1820.47945205479,2018,3
"13","Tawny-bellied Hermit",1463.8,1856.34437086093,2160,3
"14","Sparkling Violetear",1740,1956.93181818182,2200,2
"15","Brown Inca",1792,1897.71084337349,2094,2
"16","Green Violetear",2008,2080,2152,2
"17","Violet-tailed Sylph",1860,1941.17829457364,2140,2
"18","Fawn-breasted Brilliant",1900,1946.66666666667,1982,2
"19","Green-fronted Lancebill",1960,2159.72222222222,2270,2
"20","Buff-tailed Coronet",1936,2143.63636363636,2412,2
"21","Collared Inca",1976,2161.38,2412,2
"22","Speckled Hummingbird",2260,2217.44186046512,2450,2
"23","Hoary Puffleg",2150,2290,2350,2
"24","Gorgeted Sunangel",2200,2279.6644295302,2410,2
